날짜,요일,홈,방문,구장,관중수
2017/06/15,목,삼성,KT,포항,"6,226"
2017/06/15,목,두산,LG,잠실,"16,791"
2017/06/15,목,넥센,NC,고척,"4,681"
2017/06/16,금,KT,한화,수원,"10,096"
2017/06/16,금,KIA,LG,광주,"14,371"
2017/06/16,금,넥센,롯데,고척,"7,803"
2017/06/16,금,두산,NC,잠실,"10,226"
2017/06/16,금,삼성,SK,대구,"10,623"
2017/06/17,토,KT,한화,수원,"21,403"
2017/06/17,토,KIA,LG,광주,"20,500"
2017/06/17,토,넥센,롯데,고척,"14,019"
2017/06/17,토,두산,NC,잠실,"18,215"
2017/06/17,토,삼성,SK,대구,"13,777"
2017/06/18,일,KT,한화,수원,"14,675"
2017/06/18,일,KIA,LG,광주,"16,043"
2017/06/18,일,넥센,롯데,고척,"9,130"
2017/06/18,일,두산,NC,잠실,"13,271"
2017/06/18,일,삼성,SK,대구,"8,804"
2017/06/20,화,KT,롯데,수원,"4,705"
2017/06/20,화,SK,NC,문학,"4,902"
2017/06/20,화,LG,삼성,잠실,"13,098"
2017/06/20,화,한화,넥센,대전,"6,175"
2017/06/21,수,KT,롯데,수원,"5,805"
2017/06/21,수,SK,NC,문학,"5,136"
2017/06/21,수,KIA,두산,광주,"10,969"
2017/06/21,수,LG,삼성,잠실,"13,250"
2017/06/21,수,한화,넥센,대전,"7,379"
2017/06/22,목,KT,롯데,수원,"7,082"
2017/06/22,목,SK,NC,문학,"6,170"
2017/06/22,목,KIA,두산,광주,"11,547"
2017/06/22,목,LG,삼성,잠실,"14,197"
2017/06/22,목,한화,넥센,대전,"6,854"
2017/06/23,금,삼성,한화,대구,"12,726"
2017/06/23,금,NC,KIA,마산,"7,814"
2017/06/23,금,SK,KT,문학,"8,071"
2017/06/23,금,넥센,LG,고척,"10,922"
2017/06/23,금,두산,롯데,잠실,"16,262"
2017/06/24,토,삼성,한화,대구,"21,107"
2017/06/24,토,NC,KIA,마산,"11,000"
2017/06/24,토,SK,KT,문학,"15,346"
2017/06/24,토,넥센,LG,고척,"16,084"
2017/06/24,토,두산,롯데,잠실,"22,406"
2017/06/25,일,삼성,한화,대구,"9,579"
2017/06/25,일,NC,KIA,마산,"8,363"
2017/06/25,일,SK,KT,문학,"11,055"
2017/06/25,일,넥센,LG,고척,"14,294"
2017/06/25,일,두산,롯데,잠실,"13,870"
2017/06/27,화,한화,KT,청주,"10,000"
2017/06/27,화,롯데,LG,사직,"11,468"
2017/06/27,화,두산,SK,잠실,"8,079"
2017/06/27,화,KIA,삼성,광주,"8,279"
2017/06/27,화,NC,넥센,마산,"4,275"
2017/06/28,수,한화,KT,청주,"10,000"
2017/06/28,수,롯데,LG,사직,"8,947"
2017/06/28,수,두산,SK,잠실,"7,887"
2017/06/28,수,KIA,삼성,광주,"9,963"
2017/06/28,수,NC,넥센,마산,"5,055"
2017/06/29,목,한화,KT,청주,"10,000"
2017/06/29,목,두산,SK,잠실,"10,129"
2017/06/29,목,KIA,삼성,광주,"10,447"
2017/06/30,금,LG,KIA,잠실,"24,204"
2017/06/30,금,롯데,NC,사직,"7,463"
2017/06/30,금,한화,두산,대전,"7,616"
2017/06/30,금,SK,삼성,문학,"9,531"
2017/06/30,금,KT,넥센,수원,"4,186"
2017/07/01,토,LG,KIA,잠실,"25,000"
2017/07/01,토,롯데,NC,사직,"20,925"
2017/07/01,토,한화,두산,대전,"11,970"
2017/07/01,토,SK,삼성,문학,"20,050"
2017/07/02,일,LG,KIA,잠실,"19,697"
2017/07/02,일,롯데,NC,사직,"7,063"
2017/07/02,일,SK,삼성,문학,"7,855"
2017/07/02,일,KT,넥센,수원,"3,258"
2017/07/04,화,넥센,한화,고척,"10,738"
2017/07/04,화,SK,KIA,문학,"17,194"
2017/07/04,화,두산,KT,잠실,"5,747"
2017/07/04,화,삼성,롯데,포항,"6,045"
2017/07/05,수,넥센,한화,고척,"10,152"
2017/07/05,수,SK,KIA,문학,"16,799"
2017/07/05,수,두산,KT,잠실,"6,148"
2017/07/05,수,NC,LG,마산,"5,803"
2017/07/05,수,삼성,롯데,포항,"8,777"
2017/07/06,목,넥센,한화,고척,"10,449"
2017/07/06,목,SK,KIA,문학,"19,103"
2017/07/06,목,삼성,롯데,포항,"10,167"
2017/07/07,금,NC,두산,마산,"7,032"
2017/07/07,금,롯데,SK,사직,"10,430"
2017/07/07,금,삼성,넥센,대구,"10,180"
2017/07/08,토,LG,한화,잠실,"18,714"
2017/07/08,토,KT,KIA,수원,"22,000"
2017/07/08,토,롯데,SK,사직,"13,750"
2017/07/08,토,삼성,넥센,대구,"10,221"
2017/07/09,일,LG,한화,잠실,"22,129"
2017/07/09,일,NC,두산,마산,"6,875"
2017/07/09,일,롯데,SK,사직,"9,163"
2017/07/09,일,삼성,넥센,대구,"6,478"
2017/07/11,화,SK,LG,문학,"7,286"
2017/07/11,화,한화,롯데,대전,"7,860"
2017/07/11,화,KIA,NC,광주,"13,847"
2017/07/11,화,KT,삼성,수원,"4,067"
2017/07/11,화,두산,넥센,잠실,"7,015"
2017/07/12,수,SK,LG,문학,"7,148"
2017/07/12,수,한화,롯데,대전,"7,648"
2017/07/12,수,KIA,NC,광주,"13,916"
2017/07/12,수,KT,삼성,수원,"5,050"
2017/07/12,수,두산,넥센,잠실,"6,126"
2017/07/13,목,SK,LG,문학,"8,277"
2017/07/13,목,한화,롯데,대전,"7,270"
2017/07/13,목,KIA,NC,광주,"18,607"
2017/07/13,목,KT,삼성,수원,"5,154"
2017/07/13,목,두산,넥센,잠실,"7,739"
2017/07/18,화,넥센,KIA,고척,"15,947"
2017/07/18,화,LG,KT,잠실,"7,361"
2017/07/18,화,한화,NC,청주,"8,064"
2017/07/18,화,SK,두산,문학,"7,823"
2017/07/18,화,롯데,삼성,울산,"7,274"
2017/07/19,수,넥센,KIA,고척,"17,000"
2017/07/19,수,LG,KT,잠실,"7,713"
2017/07/19,수,한화,NC,청주,"7,772"
2017/07/19,수,SK,두산,문학,"8,376"
2017/07/19,수,롯데,삼성,울산,"7,256"
2017/07/20,목,넥센,KIA,고척,"17,000"
2017/07/20,목,LG,KT,잠실,"7,776"
2017/07/20,목,한화,NC,청주,"7,653"
2017/07/20,목,SK,두산,문학,"7,991"
2017/07/20,목,롯데,삼성,울산,"7,593"
2017/07/21,금,두산,한화,잠실,"13,564"
2017/07/21,금,넥센,KT,고척,"3,117"
2017/07/21,금,삼성,LG,대구,"7,806"
2017/07/21,금,KIA,롯데,광주,"17,927"
2017/07/21,금,NC,SK,마산,"7,380"
2017/07/22,토,두산,한화,잠실,"18,746"
2017/07/22,토,넥센,KT,고척,"6,213"
2017/07/22,토,KIA,롯데,광주,"20,500"
2017/07/22,토,NC,SK,마산,"8,212"
2017/07/23,일,두산,한화,잠실,"11,307"
2017/07/23,일,넥센,KT,고척,"4,379"
2017/07/23,일,삼성,LG,대구,"7,082"
2017/07/23,일,KIA,롯데,광주,"16,202"
2017/07/23,일,NC,SK,마산,"7,074"
2017/07/25,화,삼성,NC,대구,"5,061"
2017/07/25,화,KT,두산,수원,"5,165"
2017/07/25,화,KIA,SK,광주,"9,485"
2017/07/25,화,LG,넥센,잠실,"8,130"
2017/07/26,수,롯데,한화,사직,"12,091"
2017/07/26,수,삼성,NC,대구,"6,219"
2017/07/26,수,KT,두산,수원,"5,077"
2017/07/26,수,KIA,SK,광주,"10,723"
2017/07/26,수,LG,넥센,잠실,"8,292"
2017/07/27,목,롯데,한화,사직,"11,035"
2017/07/27,목,삼성,NC,대구,"7,294"
2017/07/27,목,KT,두산,수원,"5,591"
2017/07/27,목,KIA,SK,광주,"13,343"
2017/07/27,목,LG,넥센,잠실,"9,443"
2017/07/28,금,두산,KIA,잠실,"23,112"
2017/07/28,금,한화,LG,대전,"7,003"
2017/07/28,금,SK,롯데,문학,"10,086"
2017/07/28,금,KT,NC,수원,"3,090"
2017/07/28,금,넥센,삼성,고척,"7,638"
2017/07/29,토,두산,KIA,잠실,"25,000"
2017/07/29,토,한화,LG,대전,"11,007"
2017/07/29,토,SK,롯데,문학,"22,975"
2017/07/29,토,KT,NC,수원,"12,082"
2017/07/29,토,넥센,삼성,고척,"13,463"
2017/07/30,일,두산,KIA,잠실,"25,000"
2017/07/30,일,한화,LG,대전,"7,358"
2017/07/30,일,SK,롯데,문학,"19,413"
2017/07/30,일,KT,NC,수원,"8,145"
2017/07/30,일,넥센,삼성,고척,"11,668"
2017/08/01,화,NC,한화,마산,"7,697"
2017/08/01,화,KIA,KT,광주,"15,653"
2017/08/01,화,LG,롯데,잠실,"16,971"
2017/08/01,화,삼성,두산,대구,"10,313"
2017/08/01,화,넥센,SK,고척,"8,570"
2017/08/02,수,NC,한화,마산,"7,619"
2017/08/02,수,LG,롯데,잠실,"15,796"
2017/08/02,수,삼성,두산,대구,"10,301"
2017/08/02,수,넥센,SK,고척,"7,998"
2017/08/03,목,NC,한화,마산,"6,884"
2017/08/03,목,KIA,KT,광주,"16,918"
2017/08/03,목,LG,롯데,잠실,"15,429"
2017/08/03,목,삼성,두산,대구,"10,118"
2017/08/03,목,넥센,SK,고척,"9,522"
2017/08/04,금,한화,KIA,대전,"10,019"
2017/08/04,금,LG,두산,잠실,"20,144"
2017/08/04,금,KT,SK,수원,"5,195"
2017/08/04,금,NC,삼성,마산,"7,377"
2017/08/04,금,롯데,넥센,사직,"13,615"
2017/08/05,토,한화,KIA,대전,"11,871"
2017/08/05,토,LG,두산,잠실,"22,428"
2017/08/05,토,KT,SK,수원,"10,210"
2017/08/05,토,NC,삼성,마산,"8,125"
