date,away,away_score,home_score,home
2017/6/27,SK,5,1,두산
2017/6/27,삼성,4,11,KIA
2017/6/27,kt,1,4,한화
2017/6/28,넥센,3,9,NC
2017/6/28,LG,9,9,롯데
2017/6/28,SK,3,0,두산
2017/6/28,삼성,4,13,KIA
2017/6/28,kt,5,4,한화
2017/6/29,SK,3,6,두산
2017/6/29,삼성,1,22,KIA
2017/6/29,kt,5,8,한화
2017/6/30,두산,8,13,한화
2017/6/30,NC,0,9,롯데
2017/6/30,삼성,5,7,SK
2017/6/30,KIA,10,6,LG
2017/6/30,넥센,9,5,kt
2017/7/1,두산,3,9,한화
2017/7/1,NC,5,9,롯데
2017/7/1,삼성,7,4,SK
2017/7/1,KIA,10,4,LG
2017/7/2,NC,1,2,롯데
2017/7/2,삼성,5,6,SK
2017/7/2,KIA,13,4,LG
2017/7/2,넥센,5,1,kt
2017/7/4,한화,5,7,넥센
2017/7/4,KIA,15,6,SK
2017/7/4,kt,1,8,두산
2017/7/4,롯데,2,4,삼성
2017/7/5,한화,7,12,넥센
2017/7/5,LG,12,5,NC
2017/7/5,KIA,17,18,SK
2017/7/5,kt,1,3,두산
2017/7/5,롯데,5,6,삼성
2017/7/6,한화,6,13,넥센
2017/7/6,KIA,5,3,SK
2017/7/6,롯데,4,2,삼성
2017/7/7,넥센,9,2,삼성
2017/7/7,두산,6,1,NC
2017/7/7,SK,6,5,롯데
2017/7/8,넥센,10,8,삼성
2017/7/8,SK,4,6,롯데
2017/7/8,한화,6,3,LG
2017/7/8,KIA,20,8,kt
2017/7/9,넥센,2,7,삼성
2017/7/9,두산,4,9,NC
2017/7/9,SK,6,0,롯데
2017/7/9,한화,2,3,LG
2017/7/11,롯데,5,4,한화
2017/7/11,LG,1,6,SK
2017/7/11,넥센,5,1,두산
2017/7/11,NC,4,7,KIA
2017/7/11,삼성,4,2,kt
2017/7/12,롯데,8,4,한화
2017/7/12,LG,12,6,SK
2017/7/12,넥센,3,4,두산
2017/7/12,NC,6,7,KIA
2017/7/12,삼성,11,3,kt
2017/7/13,롯데,4,6,한화
2017/7/13,LG,9,1,SK
2017/7/13,넥센,4,8,두산
2017/7/13,NC,1,7,KIA
2017/7/13,삼성,8,9,kt
2017/7/18,KIA,4,3,넥센
2017/7/18,삼성,2,5,롯데
2017/7/18,두산,6,4,SK
2017/7/18,kt,2,3,LG
2017/7/18,NC,7,4,한화
2017/7/19,KIA,2,4,넥센
2017/7/19,삼성,3,0,롯데
2017/7/19,두산,8,12,SK
2017/7/19,kt,2,4,LG
2017/7/19,NC,13,9,한화
2017/7/20,KIA,8,7,넥센
2017/7/20,삼성,4,4,롯데
2017/7/20,두산,14,2,SK
2017/7/20,kt,9,10,LG
2017/7/20,NC,7,4,한화
2017/7/21,kt,0,2,넥센
2017/7/21,LG,10,4,삼성
2017/7/21,SK,6,10,NC
2017/7/21,한화,6,9,두산
2017/7/21,롯데,4,3,KIA
2017/7/22,kt,8,3,넥센
2017/7/22,SK,2,8,NC
2017/7/22,한화,1,17,두산
2017/7/22,롯데,1,0,KIA
2017/7/23,kt,4,7,넥센
2017/7/23,LG,6,10,삼성
2017/7/23,SK,1,8,NC
2017/7/23,한화,7,8,두산
2017/7/23,롯데,3,1,KIA
2017/7/25,NC,1,3,삼성
2017/7/25,넥센,6,0,LG
2017/7/25,SK,10,11,KIA
2017/7/25,두산,6,5,kt
2017/7/26,NC,1,5,삼성
2017/7/26,한화,8,9,롯데
2017/7/26,넥센,3,4,LG
2017/7/26,SK,7,8,KIA
2017/7/26,두산,7,3,kt
2017/7/27,NC,7,0,삼성
2017/7/27,한화,6,3,롯데
2017/7/27,넥센,3,4,LG
2017/7/27,SK,1,9,KIA
2017/7/27,두산,5,3,kt
2017/7/28,삼성,9,2,넥센
2017/7/28,LG,3,4,한화
2017/7/28,롯데,7,8,SK
2017/7/28,KIA,3,3,두산
2017/7/28,NC,5,4,kt
2017/7/29,삼성,1,14,넥센
2017/7/29,LG,12,2,한화
2017/7/29,롯데,1,4,SK
2017/7/29,KIA,2,1,두산
2017/7/29,NC,3,4,kt
2017/7/30,삼성,4,9,넥센
2017/7/30,LG,9,3,한화
2017/7/30,롯데,3,2,SK
2017/7/30,KIA,4,6,두산
2017/7/30,NC,8,3,kt
2017/8/1,SK,0,3,넥센
2017/8/1,두산,12,5,삼성
2017/8/1,한화,6,7,NC
2017/8/1,롯데,0,2,LG
2017/8/1,kt,15,7,KIA
2017/8/2,SK,4,5,넥센
2017/8/2,두산,5,2,삼성
2017/8/2,한화,6,2,NC
2017/8/2,롯데,4,5,LG
2017/8/3,SK,3,11,넥센
2017/8/3,두산,14,4,삼성
2017/8/3,한화,2,10,NC
2017/8/3,롯데,6,9,LG
2017/8/3,kt,3,9,KIA
2017/8/4,KIA,3,7,한화
